accuracy,loss,val_accuracy,val_loss
0.9135000109672546,0.29127901792526245,0.3930000066757202,2.793567657470703
0.9744583368301392,0.09386547654867172,0.98416668176651,0.057333968579769135
0.9815624952316284,0.06854648888111115,0.9893333315849304,0.04524405300617218
0.9857291579246521,0.05161373317241669,0.9890000224113464,0.0434315949678421
0.9884374737739563,0.04161306470632553,0.9887499809265137,0.052784889936447144
0.9897083044052124,0.03711662068963051,0.9888333082199097,0.04477786645293236
0.9903125166893005,0.03436335176229477,0.9908333420753479,0.0439896397292614
0.9928541779518127,0.025398002937436104,0.9908333420753479,0.040801480412483215
0.9927291870117188,0.02668343111872673,0.9918333292007446,0.035300251096487045
0.9935625195503235,0.022331608459353447,0.9913333058357239,0.04371247813105583
0.9936875104904175,0.022617198526859283,0.9898333549499512,0.04366474971175194
0.9947708249092102,0.01871228963136673,0.9900000095367432,0.04648531973361969
0.995145857334137,0.01696970872581005,0.9923333525657654,0.03587479144334793
0.9948333501815796,0.018069837242364883,0.9899166822433472,0.04580754414200783
0.9960416555404663,0.014022833667695522,0.9921666383743286,0.04560575261712074
